"";"VisNorms ";"VisLIWC ";"VisIntens ";"VisColor ";"VisSize ";"VisMotion ";"VisFace ";"VisBody ";"GustNorms ";"GustTaste ";"AudNorms ";"AudLIWC ";"AudIntens ";"SomatNorms ";"SomatLIWC ";"SomatSurface ";"SomatProprioception ";"SomatTexture ";"SomatNociception ";"OlfacNorms ";"MotorBinder ";"MotorPractice ";"SpatialProx ";"SpatialUpDown ";"SpatialNumber ";"TemporalLIWC ";"TempDuration ";"TempAge ";"Causal ";"SocialSelf ";"SocialLIWC ";"SocialGender ";"CognitionAbstract ";"CognitionImage ";"CognitionLIWC ";"EmoSentiment ";"EmoBenefit ";"EmoPleasant ";"EmoHappy ";"EmoAngry ";"EmoDisgust ";"EmoFear ";"EmoSurprised ";"Drive ";"DriveNeeds ";"AttentionArousal ";"Cognitive_pauses ";"Long_pauses ";"Gender ";"Age ";"nteres ";"Joy ";"Astonishment ";"Sorrow ";"Anger ";"Disgust ";"Contempt ";"Fear ";"Shame ";"Guilt ";"PositiveIntegral ";"NegativeIntegral ";"AnxiousDepressive ";"Extraversion ";"Agreeableness ";"Contiousness ";"Neurotism ";"Openness "
"VisNorms";" 1.000   ";" 0.628***";"-0.315***";" 0.805***";"-0.225***";"-0.258***";" 0.409***";" 0.643***";" 0.626***";"-0.406***";"-0.290***";" 0.336***";"-0.509***";" 0.863***";" 0.718***";"-0.066   ";" 0.219***";" 0.838***";" 0.053   ";" 0.805***";" 0.442***";" 0.482***";"-0.082*  ";"-0.022   ";" 0.461***";" 0.148***";"-0.382***";"-0.561***";"-0.402***";"-0.541***";"-0.421***";" 0.345***";"-0.692***";" 0.761***";"-0.418***";"-0.009   ";"-0.210***";" 0.274***";"-0.018   ";"-0.118** ";"-0.241***";"-0.097** ";"-0.252***";" 0.137***";"-0.288***";"-0.152***";"-0.026   ";" 0.052   ";" 0.141***";"-0.005   ";" 0.039   ";" 0.061   ";"-0.042   ";" 0.026   ";"-0.003   ";" 0.040   ";"-0.029   ";" 0.045   ";"-0.002   ";" 0.057   ";" 0.037   ";" 0.012   ";" 0.048   ";" 0.029   ";" 0.041   ";"-0.010   ";"-0.011   ";" 0.025   "
"VisLIWC";" 0.628***";" 1.000   ";" 0.151***";" 0.863***";" 0.061   ";"-0.219***";" 0.420***";" 0.633***";" 0.534***";"-0.532***";"-0.106** ";" 0.720***";"-0.234***";" 0.524***";" 0.838***";"-0.159***";" 0.294***";" 0.547***";" 0.179***";" 0.376***";" 0.748***";" 0.116** ";" 0.427***";" 0.318***";" 0.654***";" 0.380***";"-0.527***";"-0.365***";"-0.080*  ";" 0.049   ";"-0.161***";" 0.100** ";"-0.308***";" 0.409***";" 0.015   ";"-0.116** ";" 0.042   ";" 0.393***";" 0.140***";"-0.394***";"-0.416***";" 0.151***";" 0.126***";"-0.112** ";"-0.200***";"-0.050   ";"-0.001   ";" 0.051   ";" 0.041   ";" 0.086*  ";" 0.115** ";" 0.102** ";"-0.165***";"-0.055   ";"-0.094*  ";"-0.036   ";"-0.107** ";"-0.062   ";"-0.052   ";"-0.055   ";" 0.068   ";"-0.076*  ";"-0.064   ";"-0.014   ";" 0.054   ";" 0.003   ";" 0.101** ";" 0.089*  "
"VisIntens";"-0.315***";" 0.151***";" 1.000   ";" 0.086*  ";" 0.172***";"-0.067   ";" 0.386***";"-0.085*  ";" 0.019   ";"-0.383***";" 0.129***";" 0.232***";" 0.011   ";"-0.504***";"-0.054   ";" 0.390***";" 0.155***";"-0.151***";" 0.027   ";"-0.259***";"-0.142***";"-0.634***";" 0.316***";" 0.497***";"-0.162***";" 0.142***";" 0.040   ";" 0.107** ";" 0.151***";" 0.766***";" 0.390***";"-0.577***";" 0.503***";"-0.460***";" 0.307***";"-0.743***";" 0.396***";" 0.600***";" 0.671***";"-0.593***";"-0.452***";" 0.272***";" 0.165***";"-0.615***";" 0.056   ";"-0.042   ";" 0.010   ";"-0.041   ";"-0.129***";" 0.057   ";" 0.005   ";" 0.068   ";"-0.070   ";"-0.103** ";"-0.084*  ";"-0.072   ";"-0.120** ";"-0.074*  ";"-0.071   ";"-0.116** ";" 0.014   ";"-0.104** ";"-0.100** ";" 0.073*  ";" 0.053   ";" 0.153***";"-0.008   ";" 0.011   "
"VisColor";" 0.805***";" 0.863***";" 0.086*  ";" 1.000   ";" 0.029   ";"-0.176***";" 0.535***";" 0.603***";" 0.539***";"-0.469***";"-0.254***";" 0.509***";"-0.341***";" 0.668***";" 0.850***";"-0.081*  ";" 0.270***";" 0.678***";"-0.060   ";" 0.573***";" 0.544***";" 0.253***";" 0.117** ";" 0.246***";" 0.555***";" 0.186***";"-0.522***";"-0.414***";"-0.338***";"-0.175***";"-0.408***";" 0.157***";"-0.429***";" 0.579***";"-0.233***";"-0.112** ";"-0.013   ";" 0.422***";" 0.223***";"-0.333***";"-0.354***";"-0.051   ";" 0.030   ";"-0.066   ";"-0.276***";"-0.111** ";"-0.010   ";" 0.038   ";" 0.095** ";" 0.027   ";" 0.096** ";" 0.100** ";"-0.113** ";"-0.035   ";"-0.061   ";" 0.001   ";"-0.080*  ";"-0.021   ";"-0.023   ";"-0.024   ";" 0.063   ";"-0.045   ";"-0.020   ";"-0.023   ";" 0.024   ";"-0.014   ";" 0.055   ";" 0.056   "
"VisSize";"-0.225***";" 0.061   ";" 0.172***";" 0.029   ";" 1.000   ";" 0.439***";"-0.276***";"-0.021   ";"-0.337***";" 0.150***";"-0.261***";"-0.081*  ";" 0.381***";"-0.235***";" 0.022   ";"-0.402***";" 0.137***";"-0.382***";"-0.238***";"-0.323***";"-0.090*  ";"-0.187***";" 0.036   ";" 0.208***";"-0.034   ";" 0.225***";"-0.298***";" 0.543***";" 0.457***";" 0.250***";"-0.154***";"-0.182***";" 0.518***";"-0.367***";" 0.559***";" 0.145***";" 0.489***";"-0.143***";" 0.090*  ";" 0.030   ";" 0.103** ";"-0.013   ";" 0.539***";"-0.216***";" 0.518***";" 0.102** ";" 0.066   ";" 0.030   ";"-0.047   ";" 0.029   ";"-0.022   ";"-0.032   ";"-0.039   ";"-0.044   ";"-0.073*  ";"-0.051   ";"-0.012   ";"-0.074*  ";"-0.020   ";"-0.075*  ";"-0.030   ";"-0.053   ";"-0.070   ";"-0.036   ";"-0.069   ";"-0.006   ";" 0.022   ";"-0.015   "
"VisMotion";"-0.258***";"-0.219***";"-0.067   ";"-0.176***";" 0.439***";" 1.000   ";"-0.141***";"-0.152***";"-0.395***";" 0.317***";"-0.135***";"-0.328***";" 0.441***";"-0.100** ";"-0.100** ";"-0.141***";" 0.047   ";"-0.436***";"-0.217***";"-0.345***";"-0.022   ";" 0.205***";"-0.065   ";"-0.189***";"-0.036   ";"-0.153***";"-0.325***";" 0.520***";" 0.236***";" 0.102** ";"-0.136***";" 0.084*  ";" 0.209***";"-0.140***";" 0.227***";" 0.374***";" 0.414***";"-0.309***";"-0.019   ";" 0.244***";" 0.276***";"-0.336***";" 0.363***";"-0.060   ";" 0.526***";" 0.044   ";" 0.099** ";" 0.047   ";" 0.019   ";" 0.015   ";" 0.038   ";" 0.063   ";" 0.041   ";"-0.023   ";"-0.010   ";"-0.046   ";" 0.007   ";"-0.024   ";"-0.018   ";"-0.048   ";" 0.053   ";"-0.022   ";"-0.030   ";"-0.024   ";"-0.076*  ";" 0.010   ";" 0.043   ";"-0.036   "
"VisFace";" 0.409***";" 0.420***";" 0.386***";" 0.535***";"-0.276***";"-0.141***";" 1.000   ";" 0.086*  ";" 0.662***";"-0.485***";" 0.014   ";" 0.288***";"-0.365***";" 0.352***";" 0.445***";" 0.481***";" 0.252***";" 0.513***";"-0.119** ";" 0.542***";" 0.198***";" 0.213***";" 0.164***";"-0.023   ";" 0.267***";"-0.127***";"-0.058   ";"-0.499***";"-0.537***";" 0.073*  ";"-0.063   ";" 0.053   ";"-0.400***";" 0.458***";"-0.439***";"-0.539***";" 0.186***";" 0.811***";" 0.339***";"-0.516***";"-0.531***";"-0.307***";"-0.258***";"-0.103** ";"-0.369***";"-0.085*  ";"-0.037   ";"-0.004   ";"-0.064   ";" 0.001   ";" 0.117** ";" 0.149***";"-0.027   ";"-0.064   ";"-0.060   ";" 0.006   ";"-0.093*  ";"-0.002   ";"-0.046   ";"-0.059   ";" 0.119** ";"-0.058   ";"-0.036   ";" 0.045   ";" 0.072*  ";" 0.097** ";"-0.002   ";" 0.038   "
"VisBody";" 0.643***";" 0.633***";"-0.085*  ";" 0.603***";"-0.021   ";"-0.152***";" 0.086*  ";" 1.000   ";" 0.332***";"-0.472***";"-0.106** ";" 0.618***";"-0.226***";" 0.512***";" 0.679***";"-0.087*  ";" 0.275***";" 0.438***";" 0.471***";" 0.343***";" 0.560***";" 0.103** ";" 0.223***";" 0.093*  ";" 0.396***";" 0.506***";"-0.475***";"-0.260***";" 0.171***";"-0.008   ";" 0.077*  ";" 0.061   ";"-0.330***";" 0.271***";" 0.140***";" 0.000   ";"-0.141***";" 0.146***";" 0.029   ";"-0.251***";"-0.080*  ";" 0.374***";"-0.061   ";"-0.202***";" 0.088*  ";"-0.311***";" 0.015   ";" 0.063   ";" 0.151***";" 0.012   ";"-0.009   ";"-0.002   ";"-0.120** ";" 0.027   ";"-0.017   ";" 0.007   ";"-0.058   ";"-0.011   ";"-0.030   ";" 0.055   ";"-0.052   ";"-0.005   ";" 0.014   ";" 0.043   ";" 0.049   ";" 0.013   ";" 0.019   ";" 0.022   "
"GustNorms";" 0.626***";" 0.534***";" 0.019   ";" 0.539***";"-0.337***";"-0.395***";" 0.662***";" 0.332***";" 1.000   ";"-0.589***";"-0.089*  ";" 0.419***";"-0.480***";" 0.617***";" 0.594***";" 0.330***";" 0.138***";" 0.699***";" 0.286***";" 0.841***";" 0.380***";" 0.337***";" 0.132***";"-0.139***";" 0.492***";" 0.157***";" 0.039   ";"-0.659***";"-0.398***";"-0.205***";"-0.087*  ";" 0.229***";"-0.643***";" 0.659***";"-0.426***";"-0.351***";"-0.136***";" 0.629***";" 0.029   ";"-0.344***";"-0.540***";"-0.094*  ";"-0.476***";" 0.114** ";"-0.428***";"-0.114** ";"-0.024   ";" 0.037   ";"-0.004   ";" 0.020   ";" 0.097** ";" 0.097** ";"-0.067   ";"-0.026   ";"-0.057   ";" 0.001   ";"-0.080*  ";" 0.014   ";"-0.028   ";"-0.014   ";" 0.067   ";"-0.042   ";"-0.009   ";" 0.034   ";" 0.065   ";" 0.034   ";" 0.015   ";" 0.060   "
"GustTaste";"-0.406***";"-0.532***";"-0.383***";"-0.469***";" 0.150***";" 0.317***";"-0.485***";"-0.472***";"-0.589***";" 1.000   ";"-0.189***";"-0.655***";" 0.353***";"-0.219***";"-0.448***";"-0.298***";"-0.322***";"-0.390***";"-0.419***";"-0.375***";"-0.386***";" 0.151***";"-0.186***";"-0.376***";"-0.273***";"-0.423***";" 0.135***";" 0.202***";" 0.027   ";"-0.278***";"-0.304***";" 0.359***";" 0.184***";"-0.162***";" 0.004   ";" 0.541***";"-0.057   ";"-0.647***";"-0.422***";" 0.585***";" 0.566***";"-0.312***";" 0.383***";" 0.245***";" 0.159***";" 0.207***";" 0.004   ";"-0.026   ";" 0.045   ";"-0.031   ";"-0.043   ";"-0.091*  ";" 0.131***";" 0.078*  ";" 0.111** ";" 0.074*  ";" 0.156***";" 0.060   ";" 0.124***";" 0.056   ";"-0.010   ";" 0.110** ";" 0.084*  ";"-0.125***";"-0.105** ";"-0.151***";"-0.009   ";"-0.043   "
